Unnamed: 0,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Sentiment,Satisfaction_Level
664,612,8,9,8,7,1,2,8,4,Neutral,High
665,448,6,7,7,9,2,9,2,5,Neutral,High
666,439,6,8,7,7,7,4,5,4,Neutral,High
667,573,5,5,5,8,8,9,8,2,Neutral,High
668,7,5,8,5,6,2,10,4,8,Neutral,High
669,725,5,10,8,4,3,5,1,6,Neutral,High
670,50,9,8,6,7,1,6,7,4,Neutral,High
671,423,7,9,5,10,10,7,7,3,Neutral,High
672,140,7,10,6,8,6,10,9,6,Neutral,High
673,135,8,9,7,3,6,10,2,9,Neutral,High
674,786,5,4,7,5,5,6,7,1,Neutral,High
675,601,8,9,4,5,4,3,1,10,Neutral,High
676,493,9,4,4,9,4,3,6,7,Neutral,High
677,553,7,2,4,7,3,5,1,3,Neutral,High
678,27,7,3,5,5,5,1,8,6,Neutral,High
679,257,8,5,6,4,4,1,5,4,Neutral,High
680,225,10,4,5,9,3,6,9,4,Neutral,High
681,788,6,5,6,3,10,4,3,8,Neutral,High
682,37,8,9,5,3,4,3,5,2,Neutral,High
683,170,5,10,7,2,8,5,9,5,Neutral,High
684,528,9,2,5,2,6,5,1,6,Neutral,High
685,600,7,8,6,10,6,7,7,6,Neutral,High
686,655,7,8,5,4,1,6,6,8,Neutral,High
687,74,8,8,6,1,2,5,2,6,Neutral,High
688,505,9,6,8,5,8,4,7,6,Neutral,High
689,377,5,5,7,3,9,6,1,4,Neutral,High
690,808,8,6,4,5,1,8,8,3,Neutral,High
691,366,9,9,8,2,1,10,5,2,Neutral,High
692,238,8,7,5,10,10,9,7,10,Neutral,High
693,255,9,10,7,10,3,2,7,8,Neutral,High
694,123,10,2,4,5,9,8,3,5,Neutral,High
695,663,6,2,8,2,5,7,5,7,Neutral,High
696,876,6,7,4,4,9,2,5,9,Neutral,High
697,690,5,10,8,4,2,7,9,6,Neutral,High
698,309,5,8,4,9,2,1,4,5,Neutral,High
699,693,7,9,8,1,5,10,3,7,Neutral,High
700,226,7,6,8,8,8,5,8,8,Neutral,High
701,951,10,10,7,10,5,9,7,1,Neutral,High
702,260,9,3,7,4,7,2,8,3,Neutral,High
703,243,9,8,8,8,4,10,8,9,Neutral,High
704,222,5,4,4,2,7,9,5,3,Neutral,High
705,314,5,10,6,8,6,6,10,4,Neutral,High
706,229,7,6,8,2,2,10,8,8,Neutral,High
707,85,5,6,8,9,3,4,4,4,Neutral,High
708,76,8,9,8,6,3,10,7,2,Neutral,High
709,887,6,9,5,8,9,7,6,2,Neutral,High
710,582,8,4,7,8,1,5,9,3,Neutral,High
711,674,8,5,6,8,7,10,2,7,Neutral,High
712,986,7,2,6,2,4,7,10,7,Neutral,High
713,511,8,4,4,5,2,10,10,6,Neutral,High
714,879,6,10,5,10,9,5,5,4,Neutral,High
715,401,8,10,7,2,8,10,8,9,Neutral,High
716,514,6,6,7,10,7,7,6,3,Neutral,High
717,750,10,3,8,1,5,1,3,5,Neutral,High
718,156,7,4,7,9,10,8,5,8,Neutral,High
719,775,5,6,7,2,5,4,1,4,Neutral,High
720,329,9,8,8,5,3,3,10,8,Neutral,High
721,467,8,10,5,7,7,1,3,6,Neutral,High
722,178,7,7,4,7,1,2,1,2,Neutral,High
723,549,5,3,7,6,8,8,5,5,Neutral,High
724,453,8,4,4,4,2,8,1,4,Neutral,High
725,307,6,9,5,1,6,5,3,5,Neutral,High
726,472,6,8,7,7,9,9,2,3,Neutral,High
727,392,7,7,4,9,7,10,8,4,Neutral,High
728,65,6,4,4,6,3,10,8,3,Neutral,High
729,575,9,4,7,7,1,1,5,1,Neutral,High
730,855,8,3,6,4,1,1,9,7,Neutral,High
731,791,5,9,4,4,1,4,10,9,Neutral,High
732,391,5,3,7,6,7,6,9,4,Neutral,High
733,973,6,3,4,6,4,6,6,9,Neutral,High
734,828,8,3,5,2,9,5,6,3,Neutral,High
735,247,6,9,6,5,2,2,3,7,Neutral,High
736,412,9,2,5,8,7,2,10,4,Neutral,High
737,67,7,9,4,3,9,1,1,2,Neutral,High
738,289,5,2,5,8,9,2,7,2,Neutral,High
739,399,10,6,4,8,6,5,10,4,Neutral,High
740,138,8,5,8,8,10,4,2,6,Neutral,High
741,537,10,6,4,9,9,5,7,5,Neutral,High
742,265,5,9,7,6,5,6,5,3,Neutral,High
743,724,5,2,6,1,7,3,3,1,Neutral,High
744,653,5,6,5,6,6,3,9,2,Neutral,High
745,318,6,8,5,10,6,7,10,8,Neutral,High
746,232,6,8,5,5,1,1,7,8,Neutral,High
747,21,9,7,5,3,6,6,1,6,Neutral,High
748,998,9,7,5,1,2,2,1,10,Neutral,High
749,694,9,8,8,10,7,7,7,2,Neutral,High
750,927,6,2,6,2,10,3,6,4,Neutral,High
751,348,7,9,5,6,5,5,8,6,Neutral,High
752,968,6,7,6,3,8,1,9,3,Neutral,High
753,992,10,6,4,3,8,6,10,3,Neutral,High
754,764,9,3,7,6,3,8,10,2,Neutral,High
755,587,5,4,8,2,2,2,4,10,Neutral,High
756,944,10,8,6,8,8,7,9,6,Neutral,High
757,239,5,10,4,3,2,7,4,4,Neutral,High
758,886,7,7,5,5,10,1,9,9,Neutral,High
759,23,9,7,4,2,1,2,9,3,Neutral,High
760,458,6,2,4,6,6,10,4,1,Neutral,High
761,822,6,2,7,1,5,4,1,10,Neutral,High
762,413,7,10,4,2,3,1,10,1,Neutral,High
763,563,7,4,8,8,7,3,3,10,Neutral,High
764,331,8,8,7,5,10,4,7,5,Neutral,High
765,434,7,7,7,6,1,8,9,6,Neutral,High
766,456,10,4,8,6,5,1,10,1,Neutral,High
767,430,9,6,4,9,8,6,4,3,Neutral,High
768,896,6,8,7,5,4,4,5,5,Neutral,High
769,451,9,3,6,10,7,8,9,10,Neutral,High
770,477,5,2,5,6,10,6,10,8,Neutral,High
771,9,7,5,4,5,1,3,5,6,Neutral,High
772,325,7,5,7,6,1,5,8,6,Neutral,High
773,812,9,5,4,4,2,4,2,6,Neutral,High
774,727,7,2,6,4,2,10,9,5,Neutral,High
775,928,6,7,6,9,4,8,5,8,Neutral,High
776,134,9,9,7,4,7,10,8,3,Neutral,High
777,819,6,7,8,8,9,10,2,2,Neutral,High
778,230,7,2,8,2,6,1,9,2,Neutral,High
779,520,9,3,5,6,7,10,10,3,Neutral,High
780,326,7,10,8,8,6,4,9,7,Neutral,High
781,142,6,8,4,10,8,5,8,6,Neutral,High
782,491,5,4,8,6,1,3,4,4,Neutral,High
783,379,7,5,6,2,9,7,3,10,Neutral,High
784,465,5,2,8,8,6,8,2,4,Neutral,High
785,756,6,7,7,3,2,6,9,7,Neutral,High
786,347,6,8,7,3,5,1,2,8,Neutral,High
787,237,10,4,5,8,7,8,2,8,Neutral,High
788,642,5,7,6,8,9,6,6,7,Neutral,High
789,506,9,7,4,1,5,7,5,1,Neutral,High
790,646,7,8,5,4,7,8,8,8,Neutral,High
791,382,10,10,7,5,2,3,6,3,Neutral,High
792,256,6,7,4,5,9,8,6,5,Neutral,High
793,327,8,8,5,10,2,1,10,5,Neutral,High
794,624,7,3,7,10,2,1,8,8,Neutral,High
795,155,8,8,8,10,3,9,7,3,Neutral,High
796,578,8,10,7,4,5,8,7,6,Neutral,High
797,640,10,9,4,10,2,4,3,1,Neutral,High
798,997,9,8,8,6,8,3,3,10,Neutral,High
799,242,7,9,5,4,5,9,1,4,Neutral,High
800,344,7,6,8,9,8,3,8,5,Neutral,High
801,699,9,5,4,8,4,2,2,8,Neutral,High
802,77,9,4,5,9,2,1,5,10,Neutral,High
803,821,8,9,5,5,8,9,4,9,Neutral,High
804,903,9,8,8,8,4,8,4,1,Neutral,High
805,540,9,10,7,3,2,4,4,5,Neutral,High
806,596,5,8,7,7,1,2,10,3,Neutral,High
807,169,8,2,6,3,3,6,9,3,Neutral,High
808,526,9,5,5,5,2,6,4,9,Neutral,High
809,361,7,2,6,4,5,7,8,3,Neutral,High
810,917,8,6,5,3,7,5,4,8,Neutral,High
811,342,5,9,8,1,9,8,7,10,Neutral,High
812,599,5,2,4,8,4,8,9,5,Neutral,High
813,875,5,4,7,3,5,6,4,5,Neutral,High
814,745,5,9,5,10,8,2,9,1,Neutral,High
815,131,9,4,8,2,7,5,2,10,Neutral,High
816,143,6,6,7,8,10,3,3,9,Neutral,High
817,666,10,5,6,8,1,2,7,7,Neutral,High
818,104,8,5,4,2,7,9,4,4,Neutral,High
819,964,8,5,5,3,10,5,5,3,Neutral,High
820,208,8,7,5,7,2,3,2,8,Neutral,High
821,774,7,10,5,4,6,10,9,6,Neutral,High
822,346,10,7,4,9,3,2,10,8,Neutral,High
823,97,7,8,7,9,6,3,10,7,Neutral,High
824,306,9,10,4,1,3,3,2,5,Neutral,High
825,18,9,6,6,1,5,8,4,10,Neutral,High
826,284,5,7,6,3,10,3,8,6,Neutral,High
827,173,5,7,5,10,10,10,3,10,Neutral,High
828,558,7,9,5,5,9,7,3,5,Neutral,High
829,51,7,2,6,2,8,2,10,2,Neutral,High
830,357,5,8,7,5,4,1,8,8,Neutral,High
831,692,8,8,6,9,5,8,7,10,Neutral,High
832,26,8,2,6,10,9,9,4,5,Neutral,High
833,386,9,5,5,4,6,5,7,7,Neutral,High
834,287,5,9,5,5,10,8,4,10,Neutral,High
835,974,8,10,4,2,4,9,8,7,Neutral,High
836,683,6,9,4,8,5,5,1,10,Neutral,High
837,374,6,9,4,6,2,6,7,8,Neutral,High
838,278,10,8,7,8,6,7,8,1,Neutral,High
839,367,10,4,8,3,3,9,5,7,Neutral,High
840,800,7,4,5,2,1,6,3,9,Neutral,High
841,11,9,5,6,8,5,6,7,7,Neutral,High
842,310,5,8,5,9,4,4,9,10,Neutral,High
843,910,5,8,7,10,8,2,4,8,Neutral,High
844,440,5,7,8,9,7,1,8,10,Neutral,High
845,441,7,8,5,3,1,8,6,8,Neutral,High
846,146,8,7,5,6,9,2,9,10,Neutral,High
847,614,8,2,6,7,8,6,6,5,Neutral,High
848,262,10,5,4,9,6,9,9,3,Neutral,High
849,34,9,7,8,9,8,2,8,9,Neutral,High
850,407,9,8,8,6,2,9,6,4,Neutral,High
851,564,5,10,5,6,8,5,3,1,Neutral,High
852,538,8,7,4,6,10,5,2,9,Neutral,High
853,748,5,8,6,1,10,2,4,9,Neutral,High
854,675,8,7,8,9,8,6,2,8,Neutral,High
855,224,10,7,7,6,2,1,7,9,Neutral,High
856,10,8,3,7,4,3,6,4,1,Neutral,High
857,708,5,3,5,4,5,9,6,4,Neutral,High
858,636,7,3,6,9,5,4,6,3,Neutral,High
859,218,7,8,4,4,1,4,6,4,Neutral,High
860,193,5,9,4,6,5,7,1,9,Neutral,High
861,106,6,6,5,8,3,1,9,7,Neutral,High
862,834,8,2,7,4,1,8,9,2,Neutral,High
863,597,5,4,8,4,8,7,3,4,Neutral,High
864,45,8,5,6,1,5,9,2,9,Neutral,High
865,264,5,2,4,4,7,6,4,1,Neutral,High
866,219,10,4,5,7,9,10,8,3,Neutral,High
867,249,10,2,5,6,8,1,8,9,Neutral,High
868,507,9,2,6,2,7,9,7,9,Neutral,High
869,383,10,10,8,10,4,9,3,10,Neutral,High
870,631,10,8,5,3,9,9,8,3,Neutral,High
871,502,6,3,5,1,8,4,7,8,Neutral,High
872,792,10,2,6,7,7,5,6,9,Neutral,High
873,271,8,10,6,5,7,10,10,2,Neutral,High
874,194,6,3,5,4,1,10,8,3,Neutral,High
875,937,8,8,4,10,1,5,9,3,Neutral,High
876,726,6,4,4,7,7,3,6,4,Neutral,High
877,339,6,10,5,9,4,3,6,5,Neutral,High
878,841,8,9,8,3,4,4,7,1,Neutral,High
879,874,9,7,6,9,6,1,6,3,Neutral,High
880,214,6,6,4,3,1,3,4,6,Neutral,High
881,924,9,10,5,5,6,4,1,8,Neutral,High
882,203,8,7,8,9,4,10,8,10,Neutral,High
883,629,8,3,7,4,4,8,1,10,Neutral,High
884,354,6,3,7,10,1,1,10,6,Neutral,High
885,857,9,8,6,5,7,8,1,9,Neutral,High
886,424,5,3,7,3,8,6,5,7,Neutral,High
887,872,6,10,8,8,2,2,1,4,Neutral,High
888,116,8,5,6,3,5,3,1,9,Neutral,High
889,308,9,10,7,10,3,2,10,9,Neutral,High
890,698,5,9,6,3,6,9,9,9,Neutral,High
891,622,9,10,7,7,6,2,8,4,Neutral,High
892,103,9,6,4,6,1,3,10,6,Neutral,High
893,464,5,4,8,6,4,10,1,6,Neutral,High
894,870,10,4,6,3,8,2,3,7,Neutral,High
895,351,8,5,8,10,1,9,7,7,Neutral,High
896,628,10,10,4,7,1,7,3,9,Neutral,High
897,33,8,5,6,1,8,7,7,2,Neutral,High
898,972,7,9,4,1,1,2,1,10,Neutral,High
899,535,5,10,5,9,9,8,1,9,Neutral,High
900,959,8,4,5,5,10,7,3,2,Neutral,High
901,794,10,4,4,8,6,8,6,9,Neutral,High
902,313,5,7,7,3,7,10,1,1,Neutral,High
903,127,5,8,4,9,7,7,7,6,Neutral,High
904,245,10,6,4,9,9,2,7,7,Neutral,High
905,773,9,5,8,9,1,10,4,8,Neutral,High
906,69,8,6,6,1,9,1,9,7,Neutral,High
907,141,8,6,6,5,4,9,5,2,Neutral,High
908,139,8,3,4,10,6,1,1,5,Neutral,High
909,398,6,9,6,10,7,4,5,9,Neutral,High
910,889,7,6,8,6,6,6,7,10,Neutral,High
911,995,6,7,8,3,7,7,8,7,Neutral,High
912,757,9,5,7,9,7,8,9,1,Neutral,High
913,783,5,2,8,2,8,5,7,3,Neutral,High
914,420,5,8,8,6,2,4,10,3,Neutral,High
915,790,7,5,6,2,3,1,6,6,Neutral,High
916,592,7,2,7,10,8,9,5,1,Neutral,High
917,978,6,5,8,9,6,6,2,9,Neutral,High
918,735,6,4,6,1,7,6,1,5,Neutral,High
919,731,5,10,6,9,5,10,5,2,Neutral,High
920,932,6,6,4,5,5,3,6,1,Neutral,High
921,497,6,4,8,4,6,10,1,6,Neutral,High
922,813,8,10,5,8,4,7,5,2,Neutral,High
923,2,10,2,7,3,10,4,4,7,Neutral,High
924,649,9,2,6,10,4,9,4,2,Neutral,High
925,455,8,5,4,2,7,4,1,2,Neutral,High
926,593,5,3,5,3,9,10,9,9,Neutral,High
927,206,10,8,5,4,8,9,10,6,Neutral,High
928,847,7,10,5,7,1,9,10,4,Neutral,High
929,233,8,7,7,7,9,2,8,2,Neutral,High
930,87,5,10,8,4,8,10,1,9,Neutral,High
931,333,6,3,7,6,9,9,9,1,Neutral,High
932,738,8,2,5,7,2,7,6,5,Neutral,High
933,350,5,6,6,1,8,7,10,10,Neutral,High
934,805,8,8,7,10,6,2,2,6,Neutral,High
935,700,9,8,6,1,9,6,9,1,Neutral,High
936,92,7,6,7,3,2,1,7,6,Neutral,High
937,68,5,5,8,8,7,6,10,4,Neutral,High
938,746,10,5,6,7,1,1,6,1,Neutral,High
939,741,7,9,7,3,10,8,10,5,Neutral,High
940,581,9,10,8,2,5,6,7,10,Neutral,High
941,677,9,6,6,9,1,10,7,1,Neutral,High
942,442,7,8,5,10,8,3,6,4,Neutral,High
943,749,9,9,5,2,9,1,10,1,Neutral,High
944,25,5,6,4,10,4,1,8,3,Neutral,High
945,936,6,7,6,4,1,8,4,10,Neutral,High
946,90,9,10,6,7,8,1,2,7,Neutral,High
947,715,6,9,6,5,9,1,6,6,Neutral,High
948,240,9,9,7,10,5,7,1,6,Neutral,High
949,13,6,6,6,3,10,7,2,1,Neutral,High
950,126,7,4,6,4,1,5,2,1,Neutral,High
951,761,5,9,6,10,10,1,10,6,Neutral,High
952,302,8,4,6,7,1,4,1,8,Neutral,High
953,650,8,4,7,9,10,2,8,3,Neutral,High
954,365,10,5,5,3,5,2,3,5,Neutral,High
955,905,5,9,6,8,10,2,1,1,Neutral,High
956,415,9,3,5,1,8,9,9,2,Neutral,High
957,397,10,7,8,6,6,6,2,6,Neutral,High
958,435,9,9,7,4,1,1,7,5,Neutral,High
959,945,9,3,8,2,4,9,1,1,Neutral,High
960,930,8,7,5,1,3,7,2,1,Neutral,High
961,687,5,9,7,9,3,1,9,5,Neutral,High
962,852,5,10,5,4,3,10,8,6,Neutral,High
963,712,6,5,5,7,8,2,9,7,Neutral,High
964,470,6,10,6,6,7,1,1,2,Neutral,High
965,43,6,5,4,1,10,7,4,1,Neutral,High
966,550,5,3,7,8,2,7,7,8,Neutral,High
967,844,8,6,4,1,1,8,10,9,Neutral,High
968,150,6,5,8,5,2,10,1,6,Neutral,High
969,168,6,3,8,2,8,10,7,3,Neutral,High
970,519,8,7,7,6,10,10,4,3,Neutral,High
971,531,9,8,7,6,3,8,3,7,Neutral,High
972,643,9,7,7,7,2,4,3,7,Neutral,High
973,428,6,9,4,4,8,6,2,5,Neutral,High
974,659,9,4,8,10,6,6,3,8,Neutral,High
975,766,10,2,4,3,4,6,9,4,Neutral,High
976,732,9,2,6,9,4,2,10,10,Neutral,High
977,916,10,4,7,3,10,10,7,8,Neutral,High
978,979,9,4,7,10,5,2,4,2,Neutral,High
979,372,5,7,7,9,3,5,10,4,Neutral,High
980,778,9,4,8,9,8,5,7,4,Neutral,High
981,579,10,3,7,8,9,1,8,8,Neutral,High
982,320,9,6,7,4,3,9,10,2,Neutral,High
983,645,5,9,6,6,8,5,10,8,Neutral,High
984,5,6,7,4,2,3,8,10,7,Neutral,High
985,294,7,5,4,1,6,2,9,6,Neutral,High
986,117,8,2,5,10,5,4,3,2,Neutral,High
987,555,9,2,8,7,2,1,3,10,Neutral,High
988,29,6,9,5,1,6,10,4,5,Neutral,High
989,259,8,3,8,9,7,4,10,7,Neutral,High
990,47,8,4,4,9,10,10,2,6,Neutral,High
991,678,8,10,5,2,7,4,1,7,Neutral,High
992,543,8,2,4,9,3,3,3,4,Neutral,High
993,908,5,2,5,3,2,10,4,8,Neutral,High
994,586,8,2,4,9,8,8,7,7,Neutral,High
995,98,9,9,7,2,3,3,8,4,Neutral,High
996,55,8,7,6,2,5,7,7,9,Neutral,High
997,913,5,5,6,5,6,7,6,1,Neutral,High
998,199,9,5,8,3,8,1,1,2,Neutral,High
999,539,10,2,7,4,3,4,10,1,Neutral,High
1000,759,7,2,4,2,1,5,9,9,Neutral,High
